Defensive Line,Linebacker,Offensive Line,Quarterback,Running Back,Secondary,Special Teams,Tight End,Wide Receiver,Year,Team,Wins,Active Contracts,Salary Cap,Dead Cap,Injured Reserve
19264068,8441661,25785673,1184375,3341812,28675483,4810000,1618504,13432502,2013,Tampa Bay Buccaneers,4,107554078,123000000,14407084,2683941
39035821,5713791,20324154,5455469,3477896,23300343,4090000,4133807,16661743,2014,Tampa Bay Buccaneers,2,122260082,133000000,13814575,790235
23411606,12849935,19349160,5965886,4496514,10823558,1514706,4336555,4919255,2015,Tampa Bay Buccaneers,6,88252175,143280000,25305733,19580333
29831302,14646050,18606506,8192029,8956470,26647616,3086830,3913718,6720231,2016,Tampa Bay Buccaneers,9,120636046,155270000,6310844,19250608
37596471,8014093,12244672,11738985,8954728,21417452,4996176,1320491,18823519,2017,Tampa Bay Buccaneers,5,125106587,167000000,7223802,21360939
48960168,11180589,22898202,12635653,3515801,13315733,3889412,7702841,33670210,2018,Tampa Bay Buccaneers,5,157768609,177200000,11163023,20214682
6951153,14062503,25221984,2904411,14830392,20379543,4640041,6979500,11740953,2013,Tennessee Titans,7,108433715,123000000,12550074,5310017
14218025,15419780,19482174,2018337,6864209,22009734,2631042,4536919,9538568,2014,Tennessee Titans,2,97288788,133000000,12688893,17107269
20988273,10800003,10108395,4994996,1879939,20230820,4744666,10746250,6391835,2015,Tennessee Titans,3,91454606,143280000,17866172,19341893
13701469,23218080,13955007,2030882,7583259,23086449,6234666,10865480,14783325,2016,Tennessee Titans,9,116118046,155270000,18508957,15808120
20401036,31337489,16915259,9824105,8746427,28293412,7284668,7404133,18902886,2017,Tennessee Titans,9,149109415,167000000,8068695,4073982
11879403,30581023,26766265,9750916,5917977,14873514,7718000,2069261,8298067,2018,Tennessee Titans,9,117854426,177200000,13200252,51344033
11868238,18113746,19087967,5972967,2261058,11902260,2650000,4639357,19610688,2013,Washington Redskins,3,97089614,123000000,6625307,4895634
18974509,19319665,26695200,7082926,2659357,9371262,1902500,3668180,18120622,2014,Washington Redskins,4,109161929,133000000,16633031,6314352
15887205,15334417,26760118,8872885,3430588,12729550,2102500,4846690,20519809,2015,Washington Redskins,9,112017096,143280000,13087081,14852355
9224741,14057535,25400686,22237333,2089554,13638205,2612500,6687278,21055979,2016,Washington Redskins,8,117003811,155270000,16723788,11788527
9524724,19172234,11934854,27543600,820532,31208063,3242500,6075792,4837347,2017,Washington Redskins,7,114359646,167000000,12634355,47357539
11701129,23749223,23821562,370589,4992784,23041044,3433990,6039148,5755689,2018,Washington Redskins,7,102905158,177200000,14621935,54300959
